section id,recording id,timestamp [ns],gaze detected in reference image,gaze position in reference image x [px],gaze position in reference image y [px],fixation id
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040074825351,true,1917.2567974173246,986.3364920816678,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040078836351,true,1942.695295473473,997.4018489109001,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040082857351,true,1960.7909045955912,1005.943713591419,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040090855351,true,1986.7514915219613,1022.3333255857676,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040095081351,true,1994.5794573415958,1037.290012065119,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040098882351,true,2001.4407817422098,1049.2212916530063,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040102961351,true,1998.4255836816542,1060.6478497182188,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040110859351,true,2016.7333205760976,1066.362195156948,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040114839351,true,2023.483976862596,1071.8168425976828,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040118918351,true,2022.0093148685328,1073.0338953269875,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040122894351,true,2021.795365335635,1071.1956017023708,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040130855351,true,2014.2580198175772,1069.5529062047506,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040134857351,true,2013.9666563093629,1074.0206254482036,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040138866351,true,2013.1114410550701,1076.5000829539638,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040142854351,true,2014.8222095304034,1081.33362738441,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040150827351,true,2018.6944316159447,1078.2813663539328,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040154900351,true,2012.804863342712,1074.4662856207585,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040158833351,true,2012.393729131826,1071.9962947540637,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040162874351,true,2008.484291124851,1074.2058958743073,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040170862351,true,2019.0610615160147,1084.448940821849,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040174828351,true,2023.4555070716635,1085.7742401021396,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040178845351,true,2024.39827161241,1087.757918635613,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040182848351,true,2022.2313126821173,1090.4495365500911,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040190862351,true,2027.3709679678843,1090.0296615578159,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040194990351,true,2029.2580703055503,1094.7367820298482,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040198844351,true,2027.8274823690392,1097.9829013712547,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040203002351,true,2028.9859292238418,1102.8994838888402,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040210858351,true,2019.3336404103222,1102.601945759888,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040214849351,true,2016.1657269255056,1102.91201214498,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040218842351,true,2014.8790773038727,1101.8265903868905,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040222851351,true,2011.4527965989976,1099.2449007810847,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040230887351,true,2008.7912960511503,1098.6165578918678,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040234837351,true,2007.9178291890792,1097.3162918324094,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040238902351,true,2011.1368386495112,1095.3091528588948,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040247215351,true,2014.869434429726,1107.2416790720024,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040250859351,true,2015.9926026810338,1109.0435353171954,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040254853351,true,2014.549272674782,1114.0638701562025,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040258869351,true,2013.5638791355582,1115.7472729366123,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040266841351,true,2007.5522471207341,1120.1507569787616,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040270879351,true,2004.997321049195,1120.8569386630656,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040275011351,true,2003.4344611392983,1124.9865126814148,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040279705351,true,2001.753009841617,1125.6583533960766,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040286845351,true,1998.7344295573828,1130.194480127353,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040290911351,true,1997.546249295806,1132.982534047723,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040294836351,true,1996.3660013179954,1132.9577971139006,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040298881351,true,1995.5505437636364,1132.1341791857062,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040306844351,true,1993.741211027834,1129.3574764647692,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040310830351,true,1992.6671138594863,1128.902168451484,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040314833351,true,1992.2747151858607,1128.045505196786,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040318839351,true,1993.7363332501466,1127.8332749353422,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040326831351,true,1996.198032224893,1127.2783162507299,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040330957351,true,1998.3198967114504,1126.7306977037867,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040334863351,true,1998.8349673276582,1125.811802562723,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040338961351,true,1998.4524488224965,1125.6376104711521,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040346922351,true,1999.5789771573864,1137.3410316606607,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040350842351,true,2002.5122629055834,1136.66096626803,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040354845351,true,2002.0985534102113,1138.0159091359299,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634040358847351,true,2003.3310271124233,1138.6039780750573,318
